CA-openiti.docs.shard.000.normalized.sents	379075
CA-openiti.docs.shard.001.normalized.sents	1314371
CA-openiti.docs.shard.002.normalized.sents	1053760
CA-openiti.docs.shard.003.normalized.sents	886720
CA-openiti.docs.shard.004.normalized.sents	853786
CA-openiti.docs.shard.005.normalized.sents	784525
CA-openiti.docs.shard.006.normalized.sents	1776245
CA-openiti.docs.shard.007.normalized.sents	1690731
CA-openiti.docs.shard.008.normalized.sents	631115
CA-openiti.docs.shard.009.normalized.sents	1579619
CA-openiti.docs.shard.010.normalized.sents	1275533
CA-openiti.docs.shard.011.normalized.sents	1371237
CA-openiti.docs.shard.012.normalized.sents	678328
CA-openiti.docs.shard.013.normalized.sents	1263296
CA-openiti.docs.shard.014.normalized.sents	1248969
CA-openiti.docs.shard.015.normalized.sents	2391129
CA-openiti.docs.shard.016.normalized.sents	2089941
CA-openiti.docs.shard.017.normalized.sents	1494787
CA-openiti.docs.shard.018.normalized.sents	1928359
CA-openiti.docs.shard.019.normalized.sents	2193910
CA-openiti.docs.shard.020.normalized.sents	1142856
CA-openiti.docs.shard.021.normalized.sents	1958280
CA-openiti.docs.shard.022.normalized.sents	1848203
CA-openiti.docs.shard.023.normalized.sents	1833876
CA-openiti.docs.shard.024.normalized.sents	2232218
CA-openiti.docs.shard.025.normalized.sents	2355445
CA-openiti.docs.shard.026.normalized.sents	1677104
CA-openiti.docs.shard.027.normalized.sents	3284087
CA-openiti.docs.shard.028.normalized.sents	1884057
CA-openiti.docs.shard.029.normalized.sents	3198168
CA-openiti.docs.shard.030.normalized.sents	2104451
CA-openiti.docs.shard.031.normalized.sents	2916466
CA-openiti.docs.shard.032.normalized.sents	4001207
CA-openiti.docs.shard.033.normalized.sents	1737979
CA-openiti.docs.shard.034.normalized.sents	2618122
CA-openiti.docs.shard.035.normalized.sents	4108187
CA-openiti.docs.shard.036.normalized.sents	3446810
CA-openiti.docs.shard.037.normalized.sents	4738482
CA-openiti.docs.shard.038.normalized.sents	3400576
CA-openiti.docs.shard.039.normalized.sents	4283773
CA-openiti.docs.shard.040.normalized.sents	2714966
CA-openiti.docs.shard.041.normalized.sents	3862649
CA-openiti.docs.shard.042.normalized.sents	7250447
